sid,star
1,Jack Nicholson
2,Brooke Shields
3,Mark Hamill
4,Robert Hays
5,Chevy Chase
6,Betsy Palmer
7,John Belushi
8,Robert De Niro
9,Gene Hackman
10,David Carradine
11,Clint Eastwood
12,N!xau
13,Robin Williams
14,Donald Sutherland
15,Michael Caine
16,Christopher Reeve
17,Jane Fonda
18,Adrienne Barbeau
19,Al Pacino
20,Kris Kristofferson
21,Kirk Douglas
22,Olivia Newton-John
23,Robert Redford
24,Richard Gere
25,Scott Glenn
26,Goldie Hawn
27,Tony Danza
28,Rory Calhoun
29,Peter O'Toole
30,Don Adams
31,Woody Allen
32,Paul Le Mat
33,Paul Newman
34,Chuck Norris
35,Elliott Gould
36,Michael Ontkean
37,Paul Michael Glaser
38,Harrison Ford
39,David Naughton
40,Kurt Russell
41,Bruce Campbell
42,Dan Monahan
43,John Travolta
44,Laurence Olivier
45,Nigel Terry
46,Mel Gibson
47,Bill Murray
48,Burt Reynolds
49,James Caan
50,Sean Connery
51,Roger Moore
52,Jamie Lee Curtis
53,George C. Scott
54,Warren Beatty
55,Mickey Rooney
56,Ben Cross
57,Bo Derek
58,Dudley Moore
59,Mel Brooks
60,Dee Wallace
61,Peter MacNicol
62,Jeff Bridges
63,Everett McGill
64,Sam Neill
65,Faye Dunaway
66,Sylvia Kristel
67,Maren Jensen
68,William Hurt
69,Julie Andrews
70,Catriona MacColl
71,Frederic Forrest
72,Sylvester Stallone
73,Albert Finney
74,Treat Williams
75,Lauren Tewes
76,George Segal
77,Steve Martin
78,Klinton Spilsbury
79,Lesley-Anne Down
80,Daniel Valdez
81,Jack Lemmon
82,Richard Pryor
83,Andy Kaufman
84,Richard Dreyfuss
85,Robert Duvall
86,David Rasche
87,Harry Hamlin
88,Sean Penn
89,Arnold Schwarzenegger
90,Henry Thomas
91,Michelle Pfeiffer
92,Aileen Quinn
93,JoBeth Williams
94,Nick Nolte
95,William Shatner
96,Meryl Streep
97,Ben Kingsley
98,Dustin Hoffman
99,Elizabeth Hartman
100,Marc Singer
101,Hal Holbrook
102,Bob Geldof
103,Nastassja Kinski
104,Bertil Guve
105,Dana Kimmell
106,Tom Atkins
107,Jim Henson
108,Christopher George
109,Steve Guttenberg
110,Barbara Hershey
111,Kate McNeil
112,Peter Ustinov
113,Charles Bronson
114,Barry Bostwick
115,Mariel Hemingway
116,James Olson
117,John Cassavetes
118,Roy Scheider
119,Robert Glaudini
120,Cher
121,Lewis Collins
122,Peter Sellers
123,Jon Voight
124,Willie Nelson
125,Ken Wahl
126,Mark Blankfield
127,John Hurt
128,Toni Attell
129,Bette Midler
130,Ryan O'Neal
131,Luciano Pavarotti
132,C. Thomas Howell
133,Tom Cruise
134,Eddie Murphy
135,Tom Berenger
136,Dennis Quaid
137,Keith Gordon
138,Jennifer Beals
139,Matthew Broderick
140,Sam Shepard
141,Ken Marshall
142,Christopher Walken
143,Phoebe Cates
144,Nicolas Cage
145,Matt Dillon
146,James Woods
147,Shirley MacLaine
148,Dan Aykroyd
149,Peter Billingsley
150,Anthony Perkins
151,Barbra Streisand
152,Randy Norton
153,Graham Chapman
154,John Cleese
155,Rick Hill
156,Jason Robards
157,Peter Keleghan
158,Cliff Gorman
159,Mary Beth McDonough
160,Linda Blair
161,Peter Strauss
162,Tom Selleck
163,Don Francks
164,Lou Ferrigno
165,Tony Roberts
166,Rutger Hauer
167,Shô Kosugi
168,Peter Weller
169,David Niven
170,Max Gail
171,Walter Matthau
172,Pia Zadora
173,Cristina Raines
174,Rosanna Arquette
175,Malcolm McDowell
176,Tommy Lee Jones
177,Martin Yost
178,Linda Griffiths
179,Robby Benson
180,Margot Kidder
181,Everett Silas
182,Kyle MacLachlan
183,Ralph Macchio
184,Craig Wasson
185,Heather Langenkamp
186,F. Murray Abraham
187,Patrick Swayze
188,Noah Hathaway
189,Kevin Bacon
190,Robert Carradine
191,Zach Galligan
192,Michael Douglas
193,Michael Paré
194,Molly Ringwald
195,Rob Reiner
196,Val Kilmer
197,Peter Horton
198,Lance Guest
199,Tom Hanks
200,John Getz
201,Sumi Shimamoto
202,Erich Anderson
203,Rachel Ward
204,Helen Slater
205,Drew Barrymore
206,John Heard
207,Gene Wilder
208,Harry Dean Stanton
209,Sam Waterston
210,Catherine Mary Stewart
211,John Lurie
212,Robert Urich
213,Judy Davis
214,Prince
215,Rob Lowe
216,Tanya Roberts
217,Christopher Lambert
218,Matthew Modine
219,Sarah Patterson
220,Lilyan Chauvin
221,Eric Roberts
222,Rae Dawn Chong
223,Teri Garr
224,Howard E. Rollins Jr.
225,Tab Hunter
226,Steven Bauer
227,Joe Morton
228,Geneviève Bujold
229,Tim Matheson
230,Diane Keaton
231,Paul McCartney
232,Michael O'Keefe
233,Debra Winger
234,Brooke Adams
235,Anthony Michael Hall
236,Sean Astin
237,Michael J. Fox
238,William Petersen
239,Eileen Brennan
240,Emilio Estevez
241,Don Ameche
242,Clu Gulager
243,Demi Moore
244,Jonathan Pryce
245,Danny Glover
246,Kevin Kline
247,Tatsuya Nakadai
248,Maggie Smith
249,Chris Sarandon
250,Ethan Hawke
251,Griffin Dunne
252,Robert Englund
253,Steve Railsback
254,Paul Reubens
255,Lori Cardille
256,William Katt
257,Grant Bardsley
258,Melanie Kinnaman
259,Jeffrey Combs
260,Taimak
261,Lauren Hutton
262,Jeff Goldblum
263,John Cusack
264,Mikhail Baryshnikov
265,Gary Busey
266,Nicholas Rowe
267,Mickey Rourke
268,Bruno Lawrence
269,Ken Ogata
270,Sally Field
271,Kevin Costner
272,Richard Chamberlain
273,Michael Dudikoff
274,Timothy Hutton
275,Helen Shaver
276,Mia Farrow
277,Louise Lasser
278,Sting
279,Raymond Burr
280,Jackie Chan
281,Sheila E.
282,John Erwin
283,Joe Colligan
284,Georgia Engel
285,Daniel Jenkins
286,Mario Van Peebles
287,Sigourney Weaver
288,Wil Wheaton
289,Paul Hogan
290,David Bowie
291,Charlie Sheen
292,Isabella Rossellini
293,Lea Thompson
294,Rick Moranis
295,Crispin Glover
296,Ally Sheedy
297,Joey Cramer
298,Kathleen Turner
299,Corey Haim
300,Thom Mathews
301,Rodney Dangerfield
302,Dennis Hopper
303,Gary Oldman
304,Michael Rooker
305,Jason Lively
306,Kate Capshaw
307,Vincent Price
308,Orson Welles
309,Michael Moriarty
310,Jeff Daniels
311,Daryl Hannah
312,Tracy Camilla Johns
313,Tom Waits
314,Karen Black
315,Deborah Foreman
316,Helena Bonham Carter
317,John Candy
318,Bryan Brown
319,Brian Kerwin
320,Danny DeVito
321,Richard Jordan
322,John Lithgow
323,Michael Keaton
324,Stephen Lang
325,Chris Makepeace
326,Burt Lancaster
327,Todd Allen
328,Blythe Danner
329,Sissy Spacek
330,Judd Nelson
331,Scott McGinnis
332,Mike Norris
333,Victor Love
334,Cary Elwes
335,Elisabeth Shue
336,Adrian Pasdar
337,Andrew McCarthy
338,Dolph Lundgren
339,Christian Bale
340,Lorraine Gary
341,Timothy Dalton
342,Lou Diamond Phillips
343,Andre Gower
344,Donald Pleasence
345,George Kennedy
346,Hume Cronyn
347,Jason Bateman
348,Jim Varney
349,Kim Basinger
350,Anthony Newley
351,Casey Siemaszko
352,David Paul
353,Martin Sheen
354,Denzel Washington
355,Madonna
356,Chris Cooper
