wid,writer
1,Stephen King
2,Henry De Vere Stacpoole
3,Leigh Brackett
4,Jim Abrahams
5,Brian Doyle-Murray
6,Victor Miller
7,Dan Aykroyd
8,Jake LaMotta
9,Jerry Siegel
10,Bill Bryden
11,Stanford Sherman
12,Jamie Uys
13,Jules Feiffer
14,Judith Guest
15,Brian De Palma
16,Richard Matheson
17,Patricia Resnick
18,John Carpenter
19,William Friedkin
20,Michael Cimino
21,Thomas Hunter
22,Richard Christian Danus
23,W.D. Richter
24,Paul Schrader
25,David Eyre
26,Nancy Meyers
27,Floyd Mutrux
28,Robert Jaffe
29,Lawrence B. Marcus
30,Peter Benchley
31,Mel Brooks
32,Woody Allen
33,Bo Goldman
34,Dennis Hackin
35,Gordon Thomas
36,Rod Browning
37,Leigh Chapman
38,Ernest K. Gann
39,Jean Gruault
40,Gary Sherman
41,Lawrence Kasdan
42,John Landis
43,Sam Raimi
44,Bob Clark
45,Beverley Cross
46,Thomas Malory
47,Terry Hayes
48,Len Blum
49,Brock Yates
50,Frank Hohimer
51,Michael Palin
52,Ron Kurz
53,Richard Maibaum
54,Darryl Ponicsan
55,Warren Beatty
56,Daniel P. Mannix
57,Colin Welland
58,Kurt Luedtke
59,Tom Rowe
60,Yabo Yablonsky
61,Steve Gordon
62,Gary Brandner
63,Hal Barwood
64,Newton Thornburg
65,Gérard Brach
66,David Seltzer
67,Christina Crawford
68,Dan Greenburg
69,David Mamet
70,Glenn M. Benest
71,Steve Tesich
72,Peter Hyams
73,Blake Edwards
74,Dardano Sacchetti
75,Armyan Bernstein
76,John Gregory Dunne
77,David Shaber
78,Thomas Berger
79,Whitley Strieber
80,Jay Presson Allen
81,Fred Bauer
82,Stanley Shapiro
83,Ken Shapiro
84,Dennis Potter
85,Ivan Goff
86,John Byrum
87,Luis Valdez
88,Francis Veber
89,Lonne Elder III
90,John Hill
91,Barry Schneider
92,Brian Clark
93,Robin Moore
94,J.D. Reed
95,Howard Kohn
96,Edward Clinton
97,David Barry
98,Cameron Crowe
99,Hampton Fancher
100,Bill Lancaster
101,Robert E. Howard
102,Melissa Mathison
103,David Morrell
104,Douglas Day Stewart
105,Ken Finkleman
106,Carol Sobieski
107,Steven Spielberg
108,Roger Spottiswoode
109,Gene Roddenberry
110,William Styron
111,John Briley
112,Don McGuire
113,Steven Lisberger
114,Robert C. O'Brien
115,Paul D. Zimmerman
116,Sylvester Stallone
117,Don Coscarelli
118,A.B. 'Banjo' Paterson
119,Roger Waters
120,DeWitt Bodeen
121,Ingmar Bergman
122,Martin Kitrosser
123,Alex Lasker
124,Tommy Lee Wallace
125,David Odell
126,Barry Reed
127,Dick Randall
128,John Irving
129,Barry Levinson
130,Larry L. King
131,David Williamson
132,Peter S. Beagle
133,Frank De Felitta
134,Mark Rosman
135,Anthony Shaffer
136,David Engelbach
137,Joseph Fraley
138,Bob Kachler
139,Robert Towne
140,Carl Reiner
141,Costa-Gavras
142,John Steinbeck
143,Paul Mazursky
144,Robert Benton
145,Alan J. Adler
146,Clancy Carlile
147,Ed Graczyk
148,George Markstein
149,Deric Washburn
150,Valerie Curtin
151,Al Schwartz
152,William D. Wittliff
153,James Glickenhaus
154,Charles McCarry
155,Monica Mcgowan Johnson
156,Franklin Thompson
157,John McGreevey
158,Cheech Marin
159,Frank D. Gilroy
160,Michael Austin
161,Anne Piper
162,Oliver Stone
163,Kathleen Rowell
164,Paul Brickman
165,John Hughes
166,Timothy Harris
167,Nik Cohn
168,Thomas Hedley Jr.
169,Lawrence Lasker
170,Philip Kaufman
171,Jeffrey Boam
172,George MacDonald Fraser
173,Andrew Lane
174,S.E. Hinton
175,David Cronenberg
176,Larry McMurtry
177,Kevin McClory
178,Jean Shepherd
179,Harry Julian Fink
180,Dan O'Bannon
181,François Truffaut
182,Tom Holland
183,Nora Ephron
184,Michael Kane
185,F. Paul Wilson
186,Jack Rosenthal
187,Ralph Bakshi
188,Graham Chapman
189,Howard R. Cohen
190,Roger Swaybill
191,Ray Bradbury
192,Teresa Carpenter
193,Martin Cruz Smith
194,B.J. Nelson
195,Bill Norton
196,Linda Shayne
197,Bruce Joel Rubin
198,Robert Vincent O'Neil
199,William Roberts
200,Joe Gayton
201,Howard Avedis
202,Menahem Golan
203,John Herzfeld
204,Aaron Butler
205,Stewart Harding
206,Jon Cleary
207,Patrick Loubert
208,Luigi Cozzi
209,Ron Shelton
210,David Ambrose
211,Robert Ludlum
212,James R. Silke
213,Thomas Meehan
214,Leslie Arliss
215,Chauncey G. Parker III
216,Topper Carew
217,Graham Greene
218,Michael Leeson
219,Harold Robbins
220,Christopher Crowe
221,James McLendon
222,Amy Robinson
223,Amy Holden Jones
224,Danny Opatoshu
225,Lloyd Phillips
226,William Olsen
227,John Sayles
228,Marshall Brickman
229,Henry Bean
230,Jeffrey Price
231,Charles Burnett
232,James Cameron
233,Frank Herbert
234,Robert Mark Kamen
235,Harry Grey
236,Neal Israel
237,Willard Huyck
238,Robert J. Avrech
239,Wes Craven
240,Peter Shaffer
241,Daniel Petrie Jr.
242,Kevin Reynolds
243,Wolfgang Petersen
244,Dean Pitchford
245,Tim Metcalfe
246,Chris Columbus
247,Diane Thomas
248,Walter Hill
249,Christopher Guest
250,Jonathan R. Betuel
251,Brian Grazer
252,Joel Coen
253,Bernard Malamud
254,Bob Israel
255,Hayao Miyazaki
256,Eric Hughes
257,Robert Bolt
258,Parnell Hall
259,Jean-Loup Dabadie
260,Alex Cox
261,Arthur C. Clarke
262,Bruce Robinson
263,William Kennedy
264,Bruce A. Evans
265,Thom Eberhardt
266,Michael Janover
267,John Derek
268,Jim Jarmusch
269,Stewart Raffill
270,E.M. Forster
271,Albert Magnoli
272,David Newman
273,Arthur Silver
274,Edgar Rice Burroughs
275,Michael Cristofer
276,William Wharton
277,Angela Carter
278,Steve Kloves
279,Paul Caimi
280,Vincent Patrick
281,Phil Alden Robinson
282,Nancy Dowd
283,Steven Hager
284,W. Somerset Maugham
285,R. Lance Hill
286,Ron Koslow
287,W.R. McKinney
288,Robert Dillon
289,Charles Fuller
290,George LaFountaine
291,Philip John Taylor
292,Robert Grossbach
293,Jonathan Reynolds
294,Buck Henry
295,Alan Rudolph
296,Preston Sturges
297,Nicholas Kazan
298,Ron Nyswaner
299,Paul McCartney
300,Charles Dennis
301,Jeffrey Alan Fiskin
302,James Bridges
303,Adam Brooks
304,Robert Zemeckis
305,Gerald Petievich
306,Tom Benedek
307,Anna Hamilton Phelan
308,William Hjortsberg
309,Rudy Ricci
310,Joel Schumacher
311,Terry Gilliam
312,Michael Butler
313,Jeph Loeb
314,William Kelley
315,Menno Meyjes
316,Akira Kurosawa
317,Edward Khmara
318,Eric Luke
319,Joseph Minion
320,Gregory McDonald
321,Aaron Latham
322,David Chaskin
323,Colin Wilson
324,Phil Hartman
325,Karen Blixen
326,George A. Romero
327,Fred Dekker
328,Lloyd Alexander
329,Djordje Milicevic
330,H.P. Lovecraft
331,George Barr McCutcheon
332,Louis Venosta
333,Leora Barish
334,Joe Eszterhas
335,Barry Longyear
336,Mark Rosenthal
337,Dimitri Villard
338,Steve Bloom
339,James Goldman
340,Arthur Conan Doyle
341,Joyce Carol Oates
342,Robert Daley
343,Craig Harrison
344,Arnold Schulman
345,Max Schott
346,Don Jakoby
347,H. Rider Haggard
348,Paul De Mielche
349,Robert Lindsey
350,Rudy De Luca
351,Jane Rule
352,James Bruner
353,Ethan Coen
354,John Pielmeier
355,Elmore Leonard
356,Lloyd Fonvielle
357,Reuben Bercovitch
358,David Hare
359,Andrew Birkin
360,Steve Bing
361,John Katzenbach
362,Ralph Farquhar
363,Larry DiTillio
364,Jeffrey Scott
365,Peter Sauder
366,Tod Carroll
367,Richard Brooks
368,Adam Friedman
369,Jim Cash
370,Paul Hogan
371,Dennis Lee
372,Gregory Widen
373,Gary Goldman
374,David Lynch
375,Thomas Harris
376,Steve Gerber
377,George Langelaan
378,Howard Ashman
379,Paul Theroux
380,Neal Jimenez
381,Elizabeth McNeill
382,Dennis Feldman
383,S.S. Wilson
384,Mike Marvin
385,Walter Tevis
386,Angelo Pizzo
387,James Carabatsos
388,Mark H. Baker
389,Paula Gosling
390,Jerry Leichtling
391,Steve Martin
392,Tom McLoughlin
393,David Giler
394,Rodney Dangerfield
395,Domonic Muir
396,L.M. Kit Carson
397,Richard Fire
398,Eric Red
399,Clifford Green
400,Luciano Vincenzoni
401,Peter Young
402,Dale Launer
403,Ron Friedman
404,John Carl Buechler
405,Elliott Lewitt
406,E. Max Frye
407,Jean M. Auel
408,Spike Lee
409,Lawrence Block
410,Mark Victor
411,Mark Medoff
412,Richard Blake
413,René Fauchois
414,Danilo Bach
415,John Brownjohn
416,Chris Bryant
417,Harry Shearer
418,Robert T. Megginson
419,Ronald Shusett
420,George Gallo
421,Walon Green
422,Edwin Blum
423,Gail Morgan Hickman
424,Leo Garen
425,Donald P. Borchers
426,Gene Wilder
427,James Orr
428,Robert Gosnell
429,Kevin Tenney
430,Ivan Reitman
431,Rocco Urbisci
432,James Cresson
433,Beth Henley
434,James Booth
435,William Goldman
436,John Kohn
437,David Himmelstein
438,Neil Simon
439,Naomi Foner
440,Ross Macdonald
441,Thom Keyes
442,Renny Harlin
443,Richard Wesley
444,Stanley Kubrick
445,Jim Thomas
446,Edward Neumeier
447,Eleanor Bergstein
448,David Simkins
449,Shane Black
450,Kathryn Bigelow
451,Edward Rugoff
452,James Dearden
453,Tom Stoppard
454,Kenneth Fearing
455,John Updike
456,Ronald Bass
457,John Patrick Shanley
458,Stanley Weiser
459,Mitch Markowitz
460,Leslie Dixon
461,Chip Proser
462,Gary Conway
463,Coline Serreau
464,James L. Brooks
465,William Dear
466,Mick Garris
467,Edmond Rostand
468,Stu Silver
469,John R. Cherry III
470,Jim Kouf
471,Anne Holden
472,Charles Bukowski
473,Dick Wolf
474,Elaine May
475,Norman Mailer
476,Linda Palmer
477,Richard Christian Matheson
478,Alberto Piferi
479,Nicholas Conde
480,Brian Garfield
481,Richard Sale
482,James Toback
483,Howard Franklin
484,Andrew Smith
485,John Milius
486,Eric Roth
487,George Axelrod
488,Joe Menosky
489,Denis Hamill
490,Lorne Cameron
491,Doug Lefler
492,Irwin Yablans
493,David Freeman
494,Walter Bernstein
495,Frank Deese
496,Avi Kleinberger
497,Jack Higgins
498,Don Keith Opper
499,William P. Wood
500,Mario Puzo
501,Warren Chaney
502,James Fox
503,Dom Irrera
504,Tom Topor
505,Christopher Frank
506,Daniel Taplitz
507,David Leland
508,Robert Kosberg
509,Jerry Belson
510,Bill Condon
511,Roderick Thorp
512,Michael McDowell
513,Gary Ross
514,Barry Morrow
515,Ray Nelson
516,George Lucas
517,Daniel Waters
518,Eddie Murphy
519,Gary K. Wolf
520,Giuseppe Tornatore
521,Chris Gerolmo
522,Don Mancini
523,William Davies
524,Jerry Zucker
525,Heywood Gould
526,John Fusco
527,John Cleese
528,Kevin Wade
529,Sheldon Lettich
530,Nikos Kazantzakis
531,Barry Strugatz
532,Stu Krieger
533,Christopher Hampton
534,Julie Brown
535,John Waters
536,Milan Kundera
537,Theodore Simonson
538,Jim Cox
539,Iris Rainer
540,Charles McKeown
541,Dhani Lipsius
542,Sam Egan
543,Andrew Davis
544,Mitch Glazer
545,Keenen Ivory Wayans
546,Ed Justin
547,Daryl Haney
548,Neil Tolkin
549,Peter Atkins
550,Roman Polanski
551,Michael Schiffer
552,Jerico Stone
553,John Bryson
554,Ken Russell
555,Neil Jordan
556,Ken Wiederhorn
557,Astrid Lindgren
558,Eliot Asinof
559,Larry Cohen
560,Pedro Almodóvar
561,Joe Augustyn
562,Lanier Laney
563,David Saperstein
564,Anthony Hickox
565,Jay Cronley
566,Steve Zacharias
567,Wade Davis
568,Michael Stewart
569,Robert Reneau
570,Jay McInerney
571,Harv Zimmel
572,William Mastrosimone
573,Frank LaLoggia
574,Harold T.P. Hayes
575,Rockne S. O'Bannon
576,Steve De Jarnatt
577,Agatha Christie
578,David Twohy
579,Terry Black
580,Stephen Singular
581,John Nichols
582,Larry Ketron
583,Joel Oliansky
584,Deborah Blum
585,Robert Abramoff
586,Amos Poe
587,Ernest Thompson
588,Ken Kolb
589,Andrew Fleming
590,Rod Amateau
591,James Ellroy
592,Paul Golding
593,Mike Figgis
594,Ben Hecht
595,Susan Sandler
596,Frank Deford
597,Tom Ropelewski
598,Tracy Tormé
599,Jarre Fees
600,Michael Kaplan
601,Ed Turner
602,Charles G. Booth
603,Bill Fishman
604,Martin Donovan
605,Michael Bortman
606,Bob Kane
607,Chris Matheson
608,Tom Schulman
609,John Musker
610,Stuart Gordon
611,Dennis Shryack
612,Steven Soderbergh
613,David S. Ward
614,Robert Harling
615,Randy Feldman
616,Ron Kovic
617,Kevin Jarre
618,Lowell Ganz
619,Dana Olsen
620,Michael G. Wilson
621,Richard Smith
622,Earl Barret
623,Daniel Lang
624,John Bishop
625,Warren Adler
626,David Chisholm
627,'Weird Al' Yankovic
628,Amy Heckerling
629,Don Bluth
630,Albert Pyun
631,David Webb Peoples
632,Phillip Rhee
633,Mark DiSalle
634,Craig Bolotin
635,Ava Ostern Fries
636,Alfred Uhry
637,James Fogle
638,Lewis Abernathy
639,Richard Price
640,Steven Siegel
641,William Shakespeare
642,Rob Hedden
643,Choderlos de Laclos
644,Michael Thomas
645,Michael Jenning
646,Blaze Starr
647,Michael Tolkin
648,John Dahl
649,Perry Howze
650,Jon Connolly
651,Harold Nebenzal
652,Jean-Charles Tacchella
653,Ryôzô Kasahara
654,Neil Cuthbert
655,John Godey
656,John Eskow
657,Carolyn Lefcourt
658,Michael Varhol
659,Christopher Hawthorne
660,Michael Short
661,Craig Lucas
662,André P. Brink
663,Allyn Warner
664,Lloyd Kaufman
665,Robert Foster
666,Mark Spragg
667,David Rich
668,Ken Wheat
669,Pierre Schoendoerffer
670,Barbara Benedek
671,Bobbie Ann Mason
672,Isaac Bashevis Singer
673,Steve Ransohoff
674,Noreen Stone
675,Terrel Seltzer
676,Carlos Fuentes
677,Alan Caillou
678,Neil Levy
679,Howard Brookner
680,Jeremy Pikser
681,Nicholas Pileggi
682,Philip K. Dick
683,J.F. Lawton
684,Michael Blake
685,Steven E. de Souza
686,Murray Salem
687,Kevin Eastman
688,Tim Burton
689,Tom Clancy
690,Chester Gould
691,Oliver Sacks
692,Barry Gifford
693,Charles Williams
694,Scott Turow
695,Nicholas St. John
696,Jim Harrison
697,Patty Dann
698,Richard Linklater
699,Peter Filardi
700,Clive Barker
701,Stefani Warren
702,Scott Alexander
703,Reginald Hudlin
704,John Fasano
705,John A. Russo
706,Daniel Pyne
707,Carrie Fisher
708,Steven McKay
709,Karin Howard
710,Kim Henkel
711,Robert Martin
712,Dennis McIntyre
713,Monte Merrick
714,Michael Grais
715,Catherine Cyran
716,Christopher Robbins
717,Mark L. Lester
718,David S. Goyer
719,Steve MacManus
720,Andrew Bergman
721,Chuck Pfarrer
722,Paul Bowles
723,Jonathan Tydor
724,David Koepp
725,Boaz Yakin
726,Peter Weir
727,Whit Stillman
728,Arthur Miller
729,Judith Rascoe
730,John le Carré
731,Peter Viertel
732,Step Tyner
733,Robert Resnikoff
734,Joseph Hayes
735,Charles Beaumont
736,Charlie Cohen
737,William Harrison
738,Edgar Allan Poe
739,Hal Hartley
740,Simon Brett
741,Sarah Bird
742,Brian Aldiss
743,Pat Barker
744,Patrick Read Johnson
745,Michael Lehmann
746,Telsche Boorman
747,Nat Mauldin
748,Michael Nankin
749,Alan Parker
750,Jere Cunningham
751,Prince
752,Martha Goldhirsh
753,Mario Vargas Llosa
754,John DeMarco
755,Rick King
756,J.M. Barrie
757,John Singleton
758,John D. MacDonald
759,Charles Addams
760,Callie Khouri
761,Carlos Cuarón
762,Pen Densham
763,Randall Jahnson
764,Linda Woolverton
765,Fannie Flagg
766,Jim Garrison
767,Dave Stevens
768,Laurice Elehwany
769,Richard LaGravenese
770,Nancy Price
771,Gus Van Sant
772,Elizabeth Livingston
773,Bruce Willis
774,Pat Conroy
775,Peter Aykroyd
776,Alvin Sargent
777,William S. Burroughs
778,Roddy Doyle
779,Thomas Lee Wright
780,William P. Kennedy
781,J.J. Abrams
782,Neil B. Shulman
783,Claude Magnier
784,Leos Carax
785,Walter Doniger
786,Stephen Glantz
787,Don Michael Paul
788,Stephen Coonts
789,Lem Dobbs
790,Kim Wozencraft
791,Scott Frank
792,Sean Penn
793,Terrence McNally
794,Rick Natkin
795,David Stenn
796,Jack London
797,Peter Carey
798,Richard Neely
799,Michael Mahern
800,Marti Leimbach
801,Lawrence J. Cohen
802,Bobcat Goldthwait
803,E.L. Doctorow
804,Tom DiCillo
805,Parker Bennett
806,Jean Genet
807,Emlyn Williams
808,David C. Wilson
809,Simon Moore
810,Robin Lyons
811,Calder Willingham
812,William Reilly
813,Ziggy Steinberg
814,Andre Norton
815,Duncan Gibbins
816,Chester Himes
817,Sam Simon
818,Peter Matthiessen
819,Ira Levin
820,Jim Strain
821,Pierre Boileau
822,Malia Scotch Marmo
823,Sidney J. Furie
824,Nicholas Meyer
825,Radha Bharadwaj
826,Mark Andrus
827,Quentin Tarantino
828,James Fenimore Cooper
829,Bram Stoker
830,Aaron Sorkin
831,Kim Wilson
832,Giovanni Arpino
833,Steven Brill
834,Ron Clements
835,Paul Rudnick
836,Bob Dolman
837,John Lutz
838,Mike Myers
839,Norman Maclean
840,Richard Rothstein
841,Joss Whedon
842,David Robinson
843,Amanda Silver
844,Bob Tzudiker
845,Alex Haley
846,Stephen Sinclair
847,Melissa Goddard
848,George Zaloom
849,Robert Rodriguez
850,Pascal Bruckner
851,Richard Outten
852,Zoë Lund
853,Mark Stein
854,Ernest R. Dickerson
855,Kenny Kim
856,Brad Mirman
857,John Dwyer
858,A L Katz
859,David Mickey Evans
860,Virginia Woolf
861,Gary Scott Thompson
862,Dennis Marks
863,Rose Bosch
864,Rex McGee
865,Barry W. Blaustein
866,Bryce Courtenay
867,Blake Snyder
868,Michael Wolk
869,George Miller
870,Robert Berger
871,Tom S. Parker
872,Matthew Chapman
873,Troy Neighbors
874,Rodolfo Sonego
875,Edward Tang
876,H.F. Saint
877,Rita Rudner
878,Robert Sheckley
879,Laura Esquivel
880,Michael Frayn
881,Michael Swerdlick
882,Leonard Wise
883,Damon Wayans
884,Bob Gale
885,Cindy Cirile
886,Jeff Benjamin
887,Laura Ziskin
888,Stephen Milburn Anderson
889,Charles Dickens
890,Theo Pelletier
891,Scott Sommer
892,Graham Swift
893,Marty Kaplan
894,Michael Hitchcock
895,Peter Silverman
896,Ron Cutler
897,Oscar Hijuelos
898,Dominique Lapierre
899,Don Roos
900,Billy Crystal
901,Barry Wong
902,Gregg Araki
903,Matthew Bright
904,Robert Klane
905,Gerald Kersh
906,Carole Eastman
907,Grace Cary Bickley
908,Michael Crichton
909,Thomas Keneally
910,J.D. Shapiro
911,Chazz Palminteri
912,Peter Hedges
913,David Kirschner
914,Edwin Torres
915,Anne Fine
916,Jeb Stuart
917,Peter M. Lenkov
918,Ebbe Roe Smith
919,John Grisham
920,Zak Penn
921,Danny Rubin
922,Jeff Arch
923,John Long
924,Jane Campion
925,Sam Harper
926,Ross Thomas
927,Gerry Conlon
928,Piers Paul Read
929,Jack Engelhard
930,Jeff Maguire
931,Edith Wharton
932,Allen Hughes
933,Michael Shaara
934,Alexandre Dumas
935,Frances Hodgson Burnett
936,Keith Walker
937,Kazuo Ishiguro
938,Travis Walton
939,Lynn Siefert
940,Stephen Levy
941,Tom Davis
942,Robbie Fox
943,Alan Shapiro
944,Don Holley
945,John Lee Hancock
946,Mark Jones
947,Tina Turner
948,Rowdy Herrington
949,John Penney
950,Fred Waitzkin
951,Jay Huguely
952,Ian McEwan
953,Paul Henning
954,Roger Avary
955,Guillermo del Toro
956,Hilary Henkin
957,Jack Finney
958,Bill Apablasa
959,Carol Heikkinen
960,Isabel Allende
961,Bernardo Bertolucci
962,Robert Clouse
963,Amy Tan
964,Tom Sierchio
965,Alan Burnett
966,Tim Burns
967,Gregory Hansen
968,Jane Austen
969,John Guare
970,Pik-Wah Lee
971,Lewis Colick
972,William Nicholson
973,David Atkins
974,A.E. Hotchner
975,Mark Twain
976,Marcia Brandwynne
977,Robert Townsend
978,Chris Rock
979,Paul W. Shapiro
980,Le Ly Hayslip
981,Mike Binder
982,Rae Lambert
983,Sy Richardson
984,Tom Robbins
985,Max Strom
986,Richard Williams
987,Dean Lorey
988,Kevin Rock
989,Tan Cheung
990,Wim Wenders
991,Christopher Coppola
992,Patrick Sheane Duncan
993,Ang Lee
994,Patrick Hasburgh
995,Dana Stevens
996,Barry Michael Cooper
997,John Lafia
998,John Brosnan
999,Amy Schor Ferris
1000,Arne Olsen
1001,Ishirô Honda
1002,Mark Bowden
1003,Maurice Richlin
1004,Roger Hedden
1005,Bernard Taylor
1006,Susan Cooper
1007,Wallace C. Bennett
1008,Rusty Cundieff
1009,Warren Leight
1010,Winston Groom
1011,Claude Zidi
1012,Irene Mecchi
1013,Michael Fallon
1014,Graham Yost
1015,Dean Devlin
1016,Penelope Spheeris
1017,Peter Farrelly
1018,Susan Shilliday
1019,James O'Barr
1020,Anne Rice
1021,Richard Curtis
1022,Jack Bernstein
1023,Louisa May Alcott
1024,Fran Walsh
1025,Kevin Smith
1026,Roy Huggins
1027,Dan Gordon
1028,Steve Barancik
1029,James Ferguson
1030,Rudolph Grey
1031,Dorothy Kingsley
1032,Michael De Luca
1033,Helen Childress
1034,Pat Proft
1035,Denis O'Neill
1036,John Rice
1037,Billy Ray
1038,Alan Zweibel
1039,P.J. Hogan
1040,Jane Anderson
1041,Mary Shelley
1042,Rudyard Kipling
1043,Mark Verheiden
1044,Leo Benvenuti
1045,John Shirley
1046,John Hodge
1047,Albert S. Ruddy
1048,Walter B. Gibson
1049,Rama Laurie Stagner
1050,Paul Attanasio
1051,Eric Bernt
1052,Mark Handley
1053,Lord Byron
1054,William Porter
1055,Hans Christian Andersen
1056,Paul Dini
1057,Ariel Dorfman
1058,Adam Leff
1059,Antonio Skármeta
1060,Alan Bennett
1061,Richard Russo
1062,Rosalie K. Fry
1063,Jeff Pollack
1064,Ed Horowitz
1065,Robert Altman
1066,Joie Lee
1067,David O. Russell
1068,David Rayfiel
1069,Richard Rich
1070,Jim Burnstein
1071,Bobby Smith Jr.
1072,Robert C. Thompson
1073,Richard Herley
1074,T. Coraghessan Boyle
1075,Tiziano Sclavi
1076,Chris Elliott
1077,Hugh Wilson
1078,Tony Griffin
1079,Marie Weiss
1080,Andy Breckman
1081,Sang-ok Shin
1082,Sara Parriott
1083,Roy Carlson
1084,James Gray
1085,Mildred Cram
1086,Akiva Goldsman
1087,Max Apple
1088,George Huang
1089,Milcho Manchevski
1090,Nikita Mikhalkov
1091,Bill Forsyth
1092,Darlene Craviotto
1093,Michael Mann
1094,Andrew Kevin Walker
1095,Randall Wallace
1096,Jim Lovell
1097,Christopher McQuarrie
1098,Jonathan Hensleigh
1099,Harmony Korine
1100,John Lasseter
1101,Ed Boon
1102,Chris Marker
1103,John O'Brien
1104,Ice Cube
1105,Peter Rader
1106,Jim Carroll
1107,Tim Herlihy
1108,John Kamps
1109,Ian Fleming
1110,Laurence Dworet
1111,Allison Anders
1112,Rafael Moreu
1113,Joseph Oriolo
1114,Alan Martin
1115,Carl Binder
1116,Jymn Magon
1117,LouAnne Johnson
1118,Joyce Maynard
1119,Samuel A. Taylor
1120,Daniel G. Sullivan
1121,Dick King-Smith
1122,Helen Prejean
1123,Sherwood Schwartz
1124,William Gibson
1125,Michael Frost Beckner
1126,John Wagner
1127,Gilles Adrien
1128,Ann Biderman
1129,Victor Salva
1130,Richard Hatem
1131,Holly Goldberg Sloan
1132,Debra Hill
1133,Albert Hackett
1134,Lilly Wachowski
1135,Alan Sharp
1136,Ann M. Martin
1137,Terry McMillan
1138,Todd Solondz
1139,Lynne Reid Banks
1140,Walter Mosley
1141,Whitney Otto
1142,Ethan Reiff
1143,John Brancato
1144,John Wyndham
1145,Peter Dexter
1146,Mark Steven Johnson
1147,Doug Richardson
1148,Stephen J. Rivele
1149,Dean R. Koontz
1150,Dusan Kovacevic
1151,Nathaniel Hawthorne
1152,Scott Rosenberg
1153,Todd Haynes
1154,Karen Elise Baldwin
1155,Michael Moore
1156,Michael Part
1157,Oliver Parker
1158,Paul Auster
1159,Eleazar Lipsky
1160,Chris Radant
1161,A.S. Byatt
1162,Rose Tremain
1163,Gregory Nava
1164,Edward Burns
1165,Ifor David Monger
1166,Harry Birckmayer
1167,Seth Margolis
